Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
0,000007E0,false,Rx,0,8,02,21,01,00,00,00,00,00
0,000007E8,false,Rx,0,8,10,1C,61,01,00,00,00,00
0,000007E0,false,Rx,0,8,30,00,01,00,00,00,00,00
0,000007E8,false,Rx,0,8,21,4C,42,65,37,00,00,00
0,000007E8,false,Rx,0,8,22,00,00,00,2D,7F,29,51
0,000007E8,false,Rx,0,8,23,2D,00,00,00,03,1A,34
0,000007E8,false,Rx,0,8,24,69,00,00,00,00,00,00
0,000007E0,false,Rx,0,8,02,21,E1,00,00,00,00,00
0,000007E8,false,Rx,0,8,04,61,E1,01,01,00,00,00
0,000007E0,false,Rx,0,8,02,21,01,00,00,00,00,00
0,000007E8,false,Rx,0,8,10,1C,61,01,00,00,00,00
0,000007E0,false,Rx,0,8,30,00,01,00,00,00,00,00
0,000007E8,false,Rx,0,8,21,4B,42,65,37,00,00,00
0,000007E8,false,Rx,0,8,22,00,00,00,2D,7F,29,51
0,000007E8,false,Rx,0,8,23,2D,00,00,00,03,1A,34
0,000007E8,false,Rx,0,8,24,69,00,00,00,00,00,00
0,000007E0,false,Rx,0,8,02,21,E1,00,00,00,00,00
0,000007E8,false,Rx,0,8,04,61,E1,01,01,00,00,00
0,000007E0,false,Rx,0,8,02,21,01,00,00,00,00,00
0,000007E8,false,Rx,0,8,10,1C,61,01,00,00,00,00
0,000007E0,false,Rx,0,8,30,00,01,00,00,00,00,00
0,000007E8,false,Rx,0,8,21,4C,42,65,37,00,00,00
0,000007E8,false,Rx,0,8,22,00,00,00,2D,7F,29,51
0,000007E8,false,Rx,0,8,23,2D,00,00,00,03,1A,34
0,000007E8,false,Rx,0,8,24,69,00,00,00,00,00,00
0,000007E0,false,Rx,0,8,02,21,E1,00,00,00,00,00
0,000007E8,false,Rx,0,8,04,61,E1,01,01,00,00,00
0,000007E0,false,Rx,0,8,02,21,01,00,00,00,00,00
0,000007E8,false,Rx,0,8,10,1C,61,01,00,00,00,00
0,000007E0,false,Rx,0,8,30,00,01,00,00,00,00,00
0,000007E8,false,Rx,0,8,21,4C,42,65,37,00,00,00
0,000007E8,false,Rx,0,8,22,00,00,00,2D,7F,29,51
0,000007E8,false,Rx,0,8,23,2D,00,00,00,03,1A,34
0,000007E8,false,Rx,0,8,24,69,00,00,00,00,00,00
0,000007E0,false,Rx,0,8,02,21,E1,00,00,00,00,00
0,000007E8,false,Rx,0,8,04,61,E1,01,01,00,00,00
0,000007E0,false,Rx,0,8,02,21,01,00,00,00,00,00
0,000007E8,false,Rx,0,8,10,1C,61,01,00,00,00,00
0,000007E0,false,Rx,0,8,30,00,01,00,00,00,00,00
0,000007E8,false,Rx,0,8,21,4C,42,65,37,00,00,00
0,000007E8,false,Rx,0,8,22,00,00,00,2D,7F,29,51
0,000007E8,false,Rx,0,8,23,2D,00,00,00,03,1A,34
0,000007E8,false,Rx,0,8,24,69,00,00,00,00,00,00
0,000007E0,false,Rx,0,8,02,21,E1,00,00,00,00,00
0,000007E8,false,Rx,0,8,04,61,E1,01,01,00,00,00
0,000007E0,false,Rx,0,8,02,21,01,00,00,00,00,00
0,000007E8,false,Rx,0,8,10,1C,61,01,00,00,00,00
0,000007E0,false,Rx,0,8,30,00,01,00,00,00,00,00
0,000007E8,false,Rx,0,8,21,4C,42,65,37,00,00,00
0,000007E8,false,Rx,0,8,22,00,00,00,2D,7F,29,51
0,000007E8,false,Rx,0,8,23,2D,00,00,00,03,1A,34
0,000007E8,false,Rx,0,8,24,69,00,00,00,00,00,00
0,000007E0,false,Rx,0,8,02,21,E1,00,00,00,00,00
0,000007E8,false,Rx,0,8,04,61,E1,01,01,00,00,00
0,000007E0,false,Rx,0,8,02,21,01,00,00,00,00,00
0,000007E8,false,Rx,0,8,10,1C,61,01,00,00,00,00
0,000007E0,false,Rx,0,8,30,00,01,00,00,00,00,00
0,000007E8,false,Rx,0,8,21,4C,42,65,37,00,00,00
0,000007E8,false,Rx,0,8,22,00,00,00,2D,7F,29,51
0,000007E8,false,Rx,0,8,23,2D,00,00,00,03,1A,34
0,000007E8,false,Rx,0,8,24,69,00,00,00,00,00,00
0,000007E0,false,Rx,0,8,02,21,E1,00,00,00,00,00
0,000007E8,false,Rx,0,8,04,61,E1,01,01,00,00,00
0,000007E0,false,Rx,0,8,02,21,01,00,00,00,00,00
0,000007E8,false,Rx,0,8,10,1C,61,01,00,00,00,00
0,000007E0,false,Rx,0,8,30,00,01,00,00,00,00,00
0,000007E8,false,Rx,0,8,21,4C,42,65,37,00,00,00
0,000007E8,false,Rx,0,8,22,00,00,00,2D,7F,29,51
0,000007E8,false,Rx,0,8,23,2D,00,00,00,03,1A,34
0,000007E8,false,Rx,0,8,24,69,00,00,00,00,00,00
0,000007E0,false,Rx,0,8,02,21,E1,00,00,00,00,00
0,000007E8,false,Rx,0,8,04,61,E1,01,01,00,00,00
0,000007E0,false,Rx,0,8,02,21,01,00,00,00,00,00
0,000007E8,false,Rx,0,8,10,1C,61,01,00,00,00,00
0,000007E0,false,Rx,0,8,30,00,01,00,00,00,00,00
0,000007E8,false,Rx,0,8,21,4C,42,65,37,00,00,00
0,000007E8,false,Rx,0,8,22,00,00,00,2D,7F,29,51
0,000007E8,false,Rx,0,8,23,2D,00,00,00,03,1A,34
0,000007E8,false,Rx,0,8,24,69,00,00,00,00,00,00
0,000007E0,false,Rx,0,8,02,21,E1,00,00,00,00,00
0,000007E8,false,Rx,0,8,04,61,E1,01,01,00,00,00
0,000007E0,false,Rx,0,8,02,21,01,00,00,00,00,00
0,000007E8,false,Rx,0,8,10,1C,61,01,00,00,00,00
0,000007E0,false,Rx,0,8,30,00,01,00,00,00,00,00
0,000007E8,false,Rx,0,8,21,4B,42,65,37,00,00,00
0,000007E8,false,Rx,0,8,22,00,00,00,2D,7F,29,51
0,000007E8,false,Rx,0,8,23,2D,00,00,00,03,1A,34
0,000007E8,false,Rx,0,8,24,69,00,00,00,00,00,00
0,000007E0,false,Rx,0,8,02,21,E1,00,00,00,00,00
0,000007E8,false,Rx,0,8,04,61,E1,01,01,00,00,00
0,000007E0,false,Rx,0,8,02,21,01,00,00,00,00,00
0,000007E8,false,Rx,0,8,10,1C,61,01,00,00,00,00
0,000007E0,false,Rx,0,8,30,00,01,00,00,00,00,00
0,000007E8,false,Rx,0,8,21,4C,42,65,37,00,00,00
0,000007E8,false,Rx,0,8,22,00,00,00,2D,7F,29,51
0,000007E8,false,Rx,0,8,23,2D,00,00,00,03,1A,34
0,000007E8,false,Rx,0,8,24,69,00,00,00,00,00,00
0,000007E0,false,Rx,0,8,02,21,E1,00,00,00,00,00
0,000007E8,false,Rx,0,8,04,61,E1,01,01,00,00,00
0,000007E0,false,Rx,0,8,02,21,01,00,00,00,00,00
0,000007E8,false,Rx,0,8,10,1C,61,01,00,00,00,00
0,000007E0,false,Rx,0,8,30,00,01,00,00,00,00,00
0,000007E8,false,Rx,0,8,21,4C,42,65,37,00,00,00
0,000007E8,false,Rx,0,8,22,00,00,00,2D,7F,29,51
0,000007E8,false,Rx,0,8,23,2D,00,00,00,03,1A,34
0,000007E8,false,Rx,0,8,24,69,00,00,00,00,00,00
0,000007E0,false,Rx,0,8,02,21,E1,00,00,00,00,00
0,000007E8,false,Rx,0,8,04,61,E1,01,01,00,00,00
0,000007E0,false,Rx,0,8,02,21,01,00,00,00,00,00
0,000007E8,false,Rx,0,8,10,1C,61,01,00,00,00,00
0,000007E0,false,Rx,0,8,30,00,01,00,00,00,00,00
0,000007E8,false,Rx,0,8,21,4C,42,65,37,00,00,00
0,000007E8,false,Rx,0,8,22,00,00,00,2D,7F,29,51
0,000007E8,false,Rx,0,8,23,2D,00,00,00,03,1A,34
0,000007E8,false,Rx,0,8,24,69,00,00,00,00,00,00
0,000007E0,false,Rx,0,8,02,21,E1,00,00,00,00,00
0,000007E8,false,Rx,0,8,04,61,E1,01,01,00,00,00
0,000007E0,false,Rx,0,8,02,21,01,00,00,00,00,00
0,000007E8,false,Rx,0,8,10,1C,61,01,00,00,00,00
0,000007E0,false,Rx,0,8,30,00,01,00,00,00,00,00
0,000007E8,false,Rx,0,8,21,4C,42,65,37,00,00,00
0,000007E8,false,Rx,0,8,22,00,00,00,2D,7F,29,51
0,000007E8,false,Rx,0,8,23,2D,00,00,00,03,1A,34
0,000007E8,false,Rx,0,8,24,69,00,00,00,00,00,00
0,000007E0,false,Rx,0,8,02,21,E1,00,00,00,00,00
0,000007E8,false,Rx,0,8,04,61,E1,01,01,00,00,00
