Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
0,000007E8,false,Rx,0,8,04,61,E1,01,01,00,00,00
0,000007E8,false,Rx,0,8,10,21,61,51,32,0D,00,00
0,000007E8,false,Rx,0,8,21,01,00,00,39,45,37,61
0,000007E8,false,Rx,0,8,22,36,3D,00,00,1A,C8,02
0,000007E8,false,Rx,0,8,23,8B,00,00,80,00,91,48
0,000007E8,false,Rx,0,8,24,80,00,80,00,A0,00,00
0,000007E8,false,Rx,0,8,04,61,E1,01,01,00,00,00
0,000007E8,false,Rx,0,8,10,21,61,51,32,1E,00,00
0,000007E8,false,Rx,0,8,21,01,00,00,39,45,37,61
0,000007E8,false,Rx,0,8,22,36,3D,00,00,1A,C8,02
0,000007E8,false,Rx,0,8,23,8B,00,00,80,00,91,48
0,000007E8,false,Rx,0,8,24,80,00,80,00,A0,00,00
0,000007E8,false,Rx,0,8,04,61,E1,01,01,00,00,00
0,000007E8,false,Rx,0,8,10,21,61,51,32,2E,00,00
0,000007E8,false,Rx,0,8,21,01,00,00,39,45,37,61
0,000007E8,false,Rx,0,8,22,36,3D,00,00,1A,C8,02
0,000007E8,false,Rx,0,8,23,8B,00,00,80,00,91,48
0,000007E8,false,Rx,0,8,24,80,00,80,00,A0,00,00
0,000007E8,false,Rx,0,8,04,61,E1,01,01,00,00,00
0,000007E8,false,Rx,0,8,10,21,61,51,32,3F,00,00
0,000007E8,false,Rx,0,8,21,01,00,00,39,45,37,61
0,000007E8,false,Rx,0,8,22,36,3D,00,00,1A,C8,02
0,000007E8,false,Rx,0,8,23,8B,00,00,80,00,91,48
0,000007E8,false,Rx,0,8,24,80,00,80,00,A0,00,00
0,000007E8,false,Rx,0,8,04,61,E1,01,01,00,00,00
0,000007E8,false,Rx,0,8,10,21,61,51,32,52,00,00
0,000007E8,false,Rx,0,8,21,01,00,00,39,45,37,61
0,000007E8,false,Rx,0,8,22,36,3D,00,00,1A,C8,02
0,000007E8,false,Rx,0,8,23,8B,00,00,80,00,91,48
0,000007E8,false,Rx,0,8,24,80,00,80,00,A0,00,00
0,000007E8,false,Rx,0,8,04,61,E1,01,01,00,00,00
0,000007E8,false,Rx,0,8,10,21,61,51,32,68,00,00
0,000007E8,false,Rx,0,8,21,01,00,00,39,45,37,61
0,000007E8,false,Rx,0,8,22,36,3D,00,00,1A,C8,02
0,000007E8,false,Rx,0,8,23,8B,00,00,80,00,91,48
0,000007E8,false,Rx,0,8,24,80,00,80,00,A0,00,00
0,000007E8,false,Rx,0,8,04,61,E1,01,01,00,00,00
0,000007E8,false,Rx,0,8,10,21,61,51,32,7D,00,00
0,000007E8,false,Rx,0,8,21,01,00,00,39,45,37,61
0,000007E8,false,Rx,0,8,22,36,3D,00,00,1A,C8,02
0,000007E8,false,Rx,0,8,23,8B,00,00,80,00,91,48
0,000007E8,false,Rx,0,8,24,80,00,80,00,A0,00,00
0,000007E8,false,Rx,0,8,04,61,E1,01,01,00,00,00
0,000007E8,false,Rx,0,8,10,21,61,51,32,90,00,00
0,000007E8,false,Rx,0,8,21,01,00,00,39,45,37,61
0,000007E8,false,Rx,0,8,22,36,3D,00,00,1A,C8,02
0,000007E8,false,Rx,0,8,23,8B,00,00,80,00,91,48
0,000007E8,false,Rx,0,8,24,80,00,80,00,A0,00,00
0,000007E8,false,Rx,0,8,04,61,E1,01,01,00,00,00
0,000007E8,false,Rx,0,8,10,21,61,51,32,9F,00,00
0,000007E8,false,Rx,0,8,21,01,00,00,39,45,37,61
0,000007E8,false,Rx,0,8,22,36,3D,00,00,1A,C8,02
0,000007E8,false,Rx,0,8,23,8B,00,00,80,00,91,48
0,000007E8,false,Rx,0,8,24,80,00,80,00,A0,00,00
0,000007E8,false,Rx,0,8,04,61,E1,01,01,00,00,00
0,000007E8,false,Rx,0,8,10,21,61,51,32,B0,00,00
0,000007E8,false,Rx,0,8,21,01,00,00,39,45,37,61
0,000007E8,false,Rx,0,8,22,36,3D,00,00,1A,C8,02
0,000007E8,false,Rx,0,8,23,8B,00,00,80,00,91,48
0,000007E8,false,Rx,0,8,24,80,00,80,00,A0,00,00
0,000007E8,false,Rx,0,8,04,61,E1,01,01,00,00,00
0,000007E8,false,Rx,0,8,10,21,61,51,32,C0,00,00
0,000007E8,false,Rx,0,8,21,01,00,00,39,45,37,61
0,000007E8,false,Rx,0,8,22,36,3D,00,00,1A,C8,02
0,000007E8,false,Rx,0,8,23,8B,00,00,80,00,91,48
0,000007E8,false,Rx,0,8,24,80,00,80,00,A0,00,00
0,000007E8,false,Rx,0,8,04,61,E1,01,01,00,00,00
0,000007E8,false,Rx,0,8,10,21,61,51,32,D0,00,00
0,000007E8,false,Rx,0,8,21,01,00,00,39,45,37,61
0,000007E8,false,Rx,0,8,22,36,3D,00,00,1A,C8,02
0,000007E8,false,Rx,0,8,23,8B,00,00,80,00,91,48
0,000007E8,false,Rx,0,8,24,80,00,80,00,A0,00,00
0,000007E8,false,Rx,0,8,04,61,E1,01,01,00,00,00
0,000007E8,false,Rx,0,8,10,21,61,51,32,E4,00,00
0,000007E8,false,Rx,0,8,21,01,00,00,39,45,37,61
0,000007E8,false,Rx,0,8,22,36,3D,00,00,1A,C8,02
0,000007E8,false,Rx,0,8,23,8B,00,00,80,00,91,48
0,000007E8,false,Rx,0,8,24,80,00,80,00,A0,00,00
0,000007E8,false,Rx,0,8,04,61,E1,01,01,00,00,00
0,000007E8,false,Rx,0,8,10,21,61,51,32,F8,00,00
0,000007E8,false,Rx,0,8,21,01,00,00,39,45,37,61
0,000007E8,false,Rx,0,8,22,36,3D,00,00,1A,C8,02
0,000007E8,false,Rx,0,8,23,8B,00,00,80,00,91,48
0,000007E8,false,Rx,0,8,24,80,00,80,00,A0,00,00
0,000007E8,false,Rx,0,8,04,61,E1,01,01,00,00,00
0,000007E8,false,Rx,0,8,10,21,61,51,33,08,00,00
0,000007E8,false,Rx,0,8,21,01,00,00,39,45,37,61
0,000007E8,false,Rx,0,8,22,36,3D,00,00,1A,C8,02
0,000007E8,false,Rx,0,8,23,8B,00,00,80,00,91,48
0,000007E8,false,Rx,0,8,24,80,00,80,00,A0,00,00
0,000007E8,false,Rx,0,8,04,61,E1,01,01,00,00,00
0,000007E8,false,Rx,0,8,10,21,61,51,33,1D,00,00
0,000007E8,false,Rx,0,8,21,01,00,00,39,45,37,61
0,000007E8,false,Rx,0,8,22,36,3D,00,00,1A,C8,02
0,000007E8,false,Rx,0,8,23,8B,00,00,80,00,91,48
0,000007E8,false,Rx,0,8,24,80,00,80,00,A0,00,00
0,000007E8,false,Rx,0,8,04,61,E1,01,01,00,00,00
0,000007E8,false,Rx,0,8,10,21,61,51,33,33,00,00
0,000007E8,false,Rx,0,8,21,01,00,00,39,45,37,61
0,000007E8,false,Rx,0,8,22,36,3D,00,00,1A,C8,02
0,000007E8,false,Rx,0,8,23,8B,00,00,80,00,91,48
0,000007E8,false,Rx,0,8,24,80,00,80,00,A0,00,00
0,000007E8,false,Rx,0,8,04,61,E1,01,01,00,00,00
0,000007E8,false,Rx,0,8,10,21,61,51,33,48,00,00
0,000007E8,false,Rx,0,8,21,01,00,00,39,45,37,61
0,000007E8,false,Rx,0,8,22,36,3D,00,00,1A,C8,02
0,000007E8,false,Rx,0,8,23,8B,00,00,80,00,91,48
0,000007E8,false,Rx,0,8,24,80,00,80,00,A0,00,00
0,000007E8,false,Rx,0,8,04,61,E1,01,01,00,00,00
0,000007E8,false,Rx,0,8,10,21,61,51,33,5A,00,00
0,000007E8,false,Rx,0,8,21,01,00,00,39,45,37,61
0,000007E8,false,Rx,0,8,22,36,3D,00,00,1A,C8,02
0,000007E8,false,Rx,0,8,23,8B,00,00,80,00,91,48
0,000007E8,false,Rx,0,8,24,80,00,80,00,A0,00,00
0,000007E8,false,Rx,0,8,04,61,E1,01,01,00,00,00
0,000007E8,false,Rx,0,8,10,21,61,51,33,6F,00,00
0,000007E8,false,Rx,0,8,21,01,00,00,39,45,37,61
0,000007E8,false,Rx,0,8,22,36,3D,00,00,1A,C8,02
0,000007E8,false,Rx,0,8,23,8B,00,00,80,00,91,48
