Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
0,000007DF,false,Rx,0,8,02,01,00,00,00,00,00,00
0,000007E8,false,Rx,0,8,06,41,00,BF,9F,A8,93,00
0,000007E9,false,Rx,0,8,06,41,00,98,18,80,13,00
0,000007DF,false,Rx,0,8,02,01,00,00,00,00,00,00
0,000007E8,false,Rx,0,8,06,41,00,BF,9F,A8,93,00
0,000007E9,false,Rx,0,8,06,41,00,98,18,80,13,00
0,000007DF,false,Rx,0,8,02,01,20,00,00,00,00,00
0,000007E8,false,Rx,0,8,06,41,20,B1,05,B1,1F,00
0,000007E9,false,Rx,0,8,06,41,20,80,01,80,01,00
0,000007DF,false,Rx,0,8,02,01,40,00,00,00,00,00
0,000007E8,false,Rx,0,8,06,41,40,7A,DC,00,00,00
0,000007E9,false,Rx,0,8,06,41,40,40,0C,00,00,00
0,000007DF,false,Rx,0,8,02,09,0A,00,00,00,00,00
0,000007E8,false,Rx,0,8,10,17,49,0A,01,45,43,4D
0,000007E9,false,Rx,0,8,10,17,49,0A,01,54,43,4D
0,000007E0,false,Rx,0,8,30,0F,02,00,00,00,00,00
0,000007E1,false,Rx,0,8,30,0F,02,00,00,00,00,00
0,000007E8,false,Rx,0,8,21,00,2D,45,6E,67,69,6E
0,000007E9,false,Rx,0,8,21,00,2D,54,72,61,6E,73
0,000007E8,false,Rx,0,8,22,65,43,6F,6E,74,72,6F
0,000007E9,false,Rx,0,8,22,6D,69,73,43,74,72,6C
0,000007E8,false,Rx,0,8,23,6C,00,00,00,00,00,00
0,000007E9,false,Rx,0,8,23,00,00,00,00,00,00,00
0,000007DF,false,Rx,0,8,02,01,00,00,00,00,00,00
0,000007E8,false,Rx,0,8,06,41,00,BF,9F,A8,93,00
0,000007E9,false,Rx,0,8,06,41,00,98,18,80,13,00
0,000007DF,false,Rx,0,8,02,01,00,00,00,00,00,00
0,000007E8,false,Rx,0,8,06,41,00,BF,9F,A8,93,00
0,000007E9,false,Rx,0,8,06,41,00,98,18,80,13,00
0,000007DF,false,Rx,0,8,02,01,00,00,00,00,00,00
0,000007E8,false,Rx,0,8,06,41,00,BF,9F,A8,93,00
0,000007E9,false,Rx,0,8,06,41,00,98,18,80,13,00
0,000007DF,false,Rx,0,8,02,01,00,00,00,00,00,00
0,000007E9,false,Rx,0,8,06,41,00,98,18,80,13,00
0,000007E8,false,Rx,0,8,06,41,00,BF,9F,A8,93,00
0,000007DF,false,Rx,0,8,02,01,00,00,00,00,00,00
0,000007E8,false,Rx,0,8,06,41,00,BF,9F,A8,93,00
0,000007E9,false,Rx,0,8,06,41,00,98,18,80,13,00
0,000007DF,false,Rx,0,8,02,01,00,00,00,00,00,00
0,000007E8,false,Rx,0,8,06,41,00,BF,9F,A8,93,00
0,000007E9,false,Rx,0,8,06,41,00,98,18,80,13,00
0,000007DF,false,Rx,0,8,02,01,00,00,00,00,00,00
0,000007E9,false,Rx,0,8,06,41,00,98,18,80,13,00
0,000007E8,false,Rx,0,8,06,41,00,BF,9F,A8,93,00
0,000007DF,false,Rx,0,8,02,01,00,00,00,00,00,00
0,000007E8,false,Rx,0,8,06,41,00,BF,9F,A8,93,00
0,000007E9,false,Rx,0,8,06,41,00,98,18,80,13,00
0,000007DF,false,Rx,0,8,02,01,00,00,00,00,00,00
0,000007E8,false,Rx,0,8,06,41,00,BF,9F,A8,93,00
0,000007E9,false,Rx,0,8,06,41,00,98,18,80,13,00
0,000007DF,false,Rx,0,8,02,01,00,00,00,00,00,00
0,000007E9,false,Rx,0,8,06,41,00,98,18,80,13,00
0,000007E8,false,Rx,0,8,06,41,00,BF,9F,A8,93,00
0,000007DF,false,Rx,0,8,02,01,00,00,00,00,00,00
0,000007E8,false,Rx,0,8,06,41,00,BF,9F,A8,93,00
0,000007E9,false,Rx,0,8,06,41,00,98,18,80,13,00
0,000007DF,false,Rx,0,8,02,01,00,00,00,00,00,00
0,000007E8,false,Rx,0,8,06,41,00,BF,9F,A8,93,00
0,000007E9,false,Rx,0,8,06,41,00,98,18,80,13,00
0,000007DF,false,Rx,0,8,02,01,00,00,00,00,00,00
0,000007E8,false,Rx,0,8,06,41,00,BF,9F,A8,93,00
0,000007E9,false,Rx,0,8,06,41,00,98,18,80,13,00
0,000007DF,false,Rx,0,8,02,01,00,00,00,00,00,00
0,000007E9,false,Rx,0,8,06,41,00,98,18,80,13,00
0,000007E8,false,Rx,0,8,06,41,00,BF,9F,A8,93,00
0,000007DF,false,Rx,0,8,02,01,00,00,00,00,00,00
0,000007E9,false,Rx,0,8,06,41,00,98,18,80,13,00
0,000007E8,false,Rx,0,8,06,41,00,BF,9F,A8,93,00
0,000007DF,false,Rx,0,8,02,01,00,00,00,00,00,00
0,000007E8,false,Rx,0,8,06,41,00,BF,9F,A8,93,00
0,000007E9,false,Rx,0,8,06,41,00,98,18,80,13,00
0,000007DF,false,Rx,0,8,02,01,00,00,00,00,00,00
0,000007E8,false,Rx,0,8,06,41,00,BF,9F,A8,93,00
0,000007E9,false,Rx,0,8,06,41,00,98,18,80,13,00
0,000007DF,false,Rx,0,8,02,01,00,00,00,00,00,00
0,000007E8,false,Rx,0,8,06,41,00,BF,9F,A8,93,00
0,000007E9,false,Rx,0,8,06,41,00,98,18,80,13,00
0,000007DF,false,Rx,0,8,02,01,00,00,00,00,00,00
0,000007E8,false,Rx,0,8,06,41,00,BF,9F,A8,93,00
0,000007E9,false,Rx,0,8,06,41,00,98,18,80,13,00
0,000007DF,false,Rx,0,8,02,01,00,00,00,00,00,00
0,000007E8,false,Rx,0,8,06,41,00,BF,9F,A8,93,00
0,000007E9,false,Rx,0,8,06,41,00,98,18,80,13,00
0,000007DF,false,Rx,0,8,02,01,00,00,00,00,00,00
0,000007E8,false,Rx,0,8,06,41,00,BF,9F,A8,93,00
0,000007E9,false,Rx,0,8,06,41,00,98,18,80,13,00
0,000007DF,false,Rx,0,8,02,01,00,00,00,00,00,00
0,000007E8,false,Rx,0,8,06,41,00,BF,9F,A8,93,00
0,000007E9,false,Rx,0,8,06,41,00,98,18,80,13,00
0,000007DF,false,Rx,0,8,02,01,00,00,00,00,00,00
0,000007E8,false,Rx,0,8,06,41,00,BF,9F,A8,93,00
0,000007E9,false,Rx,0,8,06,41,00,98,18,80,13,00
0,000007DF,false,Rx,0,8,02,01,00,00,00,00,00,00
0,000007E8,false,Rx,0,8,06,41,00,BF,9F,A8,93,00
0,000007E9,false,Rx,0,8,06,41,00,98,18,80,13,00
0,000007DF,false,Rx,0,8,02,01,00,00,00,00,00,00
0,000007E8,false,Rx,0,8,06,41,00,BF,9F,A8,93,00
0,000007E9,false,Rx,0,8,06,41,00,98,18,80,13,00
0,000007DF,false,Rx,0,8,02,01,00,00,00,00,00,00
0,000007E8,false,Rx,0,8,06,41,00,BF,9F,A8,93,00
0,000007E9,false,Rx,0,8,06,41,00,98,18,80,13,00
0,000007DF,false,Rx,0,8,02,01,00,00,00,00,00,00
0,000007E8,false,Rx,0,8,06,41,00,BF,9F,A8,93,00
0,000007E9,false,Rx,0,8,06,41,00,98,18,80,13,00
0,000007DF,false,Rx,0,8,02,01,00,00,00,00,00,00
0,000007E8,false,Rx,0,8,06,41,00,BF,9F,A8,93,00
0,000007E9,false,Rx,0,8,06,41,00,98,18,80,13,00
0,000007DF,false,Rx,0,8,02,01,01,00,00,00,00,00
0,000007E8,false,Rx,0,8,06,41,01,00,07,21,21,00
0,000007E9,false,Rx,0,8,06,41,01,00,04,00,00,00
0,000007DF,false,Rx,0,8,02,01,0D,00,00,00,00,00
0,000007E8,false,Rx,0,8,03,41,0D,00,00,00,00,00
