Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
0,00000700,false,Rx,0,8,02,3E,00,00,00,00,00,00,
0,000007E2,false,Rx,0,8,01,3E,00,00,00,00,00,00,
0,000007E0,false,Rx,0,8,01,3E,00,00,00,00,00,00,
0,000007E8,false,Rx,0,8,01,7E,00,00,00,00,00,00,
0,000007E0,false,Rx,0,8,02,09,00,00,00,00,00,00,
0,000007E8,false,Rx,0,8,06,49,00,54,40,00,00,00,
0,000007E0,false,Rx,0,8,02,09,02,00,00,00,00,00,
0,000007E8,false,Rx,0,8,10,14,49,02,01,FF,FF,FF,
0,000007E0,false,Rx,0,8,30,00,01,00,00,00,00,00,
0,000007E8,false,Rx,0,8,21,FF,FF,FF,FF,FF,FF,FF,
0,000007E8,false,Rx,0,8,22,FF,FF,FF,FF,FF,FF,FF,
0,000007E0,false,Rx,0,8,02,21,C1,00,00,00,00,00,
0,000007E8,false,Rx,0,8,10,15,61,C1,55,53,45,32,
0,000007E0,false,Rx,0,8,30,00,01,00,00,00,00,00,
0,000007E8,false,Rx,0,8,21,23,20,20,32,55,52,47,
0,000007E8,false,Rx,0,8,22,53,45,08,80,57,6D,01,
0,000007E8,false,Rx,0,8,23,00,00,00,00,00,00,00,
0,000007E0,false,Rx,0,8,01,3E,00,00,00,00,00,00,
0,000007E8,false,Rx,0,8,01,7E,00,00,00,00,00,00,
0,000007E0,false,Rx,0,8,02,A8,01,00,00,00,00,00,
0,000007E8,false,Rx,0,8,10,38,E8,01,00,04,FF,FF,
0,000007E0,false,Rx,0,8,30,00,01,00,00,00,00,00,
0,000007E8,false,Rx,0,8,21,FF,FF,01,1D,FF,FF,FF,
0,000007E8,false,Rx,0,8,22,FF,FF,00,FF,00,FF,FF,
0,000007E8,false,Rx,0,8,23,FF,FF,FF,FF,FF,FF,FF,
0,000007E8,false,Rx,0,8,24,FF,FF,FF,FF,FF,FF,FF,
0,000007E8,false,Rx,0,8,25,FF,FF,FF,FF,00,02,02,
0,000007E8,false,Rx,0,8,26,FF,FF,03,0B,FF,FF,FF,
0,000007E8,false,Rx,0,8,27,FF,FF,FF,FF,00,FF,00,
0,000007E8,false,Rx,0,8,28,00,00,00,00,00,00,00,
0,000007E8,false,Rx,0,8,10,2E,E8,01,04,1A,FF,FF,
0,000007E0,false,Rx,0,8,30,00,01,00,00,00,00,00,
0,000007E8,false,Rx,0,8,21,FF,FF,FF,FF,FF,FF,FF,
0,000007E8,false,Rx,0,8,22,FF,FF,FF,FF,FF,FF,FF,
0,000007E8,false,Rx,0,8,23,FF,FF,00,00,FF,FF,00,
0,000007E8,false,Rx,0,8,24,00,FF,FF,05,0E,FF,FF,
0,000007E8,false,Rx,0,8,25,00,00,00,00,FF,FF,FF,
0,000007E8,false,Rx,0,8,26,FF,FF,FF,FF,FF,00,00,
0,000007E8,false,Rx,0,8,10,3E,E8,01,06,12,FF,FF,
0,000007E0,false,Rx,0,8,30,00,01,00,00,00,00,00,
0,000007E8,false,Rx,0,8,21,FF,FF,FF,FF,FF,FF,00,
0,000007E8,false,Rx,0,8,22,00,00,00,FF,FF,00,00,
0,000007E8,false,Rx,0,8,23,00,00,20,04,FF,FF,FF,
0,000007E8,false,Rx,0,8,24,FF,21,20,FF,FF,FF,00,
0,000007E8,false,Rx,0,8,25,00,00,00,00,00,FF,FC,
0,000007E8,false,Rx,0,8,26,00,FF,FF,FF,FF,FF,FF,
0,000007E8,false,Rx,0,8,27,FF,FF,FF,FF,FF,FF,FF,
0,000007E8,false,Rx,0,8,28,FE,00,00,00,00,00,00,
0,000007E8,false,Rx,0,8,10,38,E8,01,22,0F,00,00,
0,000007E0,false,Rx,0,8,30,00,01,00,00,00,00,00,
0,000007E8,false,Rx,0,8,21,00,00,00,00,00,00,FF,
0,000007E8,false,Rx,0,8,22,FF,FF,FF,FF,FF,80,23,
0,000007E8,false,Rx,0,8,23,02,FF,FF,24,01,80,25,
0,000007E8,false,Rx,0,8,24,0D,46,18,00,80,F0,E0,
0,000007E8,false,Rx,0,8,25,30,00,14,00,20,CC,00,
0,000007E8,false,Rx,0,8,26,26,0D,46,18,00,80,F0,
0,000007E8,false,Rx,0,8,27,E0,30,00,14,00,20,CC,
0,000007E8,false,Rx,0,8,28,00,00,00,00,00,00,00,
0,000007E8,false,Rx,0,8,10,26,E8,01,33,22,FF,FF,
0,000007E0,false,Rx,0,8,30,00,01,00,00,00,00,00,
0,000007E8,false,Rx,0,8,21,FF,FF,FF,FF,FF,FF,FF,
0,000007E8,false,Rx,0,8,22,FF,00,00,00,00,00,00,
0,000007E8,false,Rx,0,8,23,00,00,00,00,00,00,00,
