Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
0,000007E8,false,Rx,0,8,04,61,E1,01,01,00,00,00
0,000007E8,false,Rx,0,8,10,11,61,37,D6,69,81,E0
0,000007E8,false,Rx,0,8,21,80,00,80,00,00,00,00
0,000007E8,false,Rx,0,8,22,00,00,84,00,00,00,00
0,000007E8,false,Rx,0,8,04,61,E1,01,01,00,00,00
0,000007E8,false,Rx,0,8,10,11,61,37,D6,69,81,E0
0,000007E8,false,Rx,0,8,21,80,00,80,00,00,00,00
0,000007E8,false,Rx,0,8,22,00,00,84,00,00,00,00
0,000007E8,false,Rx,0,8,04,61,E1,01,01,00,00,00
0,000007E8,false,Rx,0,8,10,11,61,37,D6,69,81,E0
0,000007E8,false,Rx,0,8,21,80,00,80,00,00,00,00
0,000007E8,false,Rx,0,8,22,00,00,84,00,00,00,00
0,000007E8,false,Rx,0,8,04,61,E1,01,01,00,00,00
0,000007E8,false,Rx,0,8,10,11,61,37,D5,69,81,E0
0,000007E8,false,Rx,0,8,21,80,00,80,00,00,00,00
0,000007E8,false,Rx,0,8,22,00,00,84,00,00,00,00
0,000007E8,false,Rx,0,8,04,61,E1,01,01,00,00,00
0,000007E8,false,Rx,0,8,10,11,61,37,D6,69,81,E0
0,000007E8,false,Rx,0,8,21,80,00,80,00,00,00,00
0,000007E8,false,Rx,0,8,22,00,00,84,00,00,00,00
0,000007E8,false,Rx,0,8,04,61,E1,01,01,00,00,00
0,000007E8,false,Rx,0,8,10,11,61,37,D5,69,81,E0
0,000007E8,false,Rx,0,8,21,80,00,80,00,00,00,00
0,000007E8,false,Rx,0,8,22,00,00,84,00,00,00,00
0,000007E8,false,Rx,0,8,04,61,E1,01,01,00,00,00
0,000007E8,false,Rx,0,8,10,11,61,37,D5,69,81,E0
0,000007E8,false,Rx,0,8,21,80,00,80,00,00,00,00
0,000007E8,false,Rx,0,8,22,00,00,84,00,00,00,00
0,000007E8,false,Rx,0,8,04,61,E1,01,01,00,00,00
0,000007E8,false,Rx,0,8,10,11,61,37,D5,69,81,E0
0,000007E8,false,Rx,0,8,21,80,00,80,00,00,00,00
0,000007E8,false,Rx,0,8,22,00,00,84,00,00,00,00
0,000007E8,false,Rx,0,8,04,61,E1,01,01,00,00,00
0,000007E8,false,Rx,0,8,10,11,61,37,D5,69,81,E0
0,000007E8,false,Rx,0,8,21,80,00,80,00,00,00,00
0,000007E8,false,Rx,0,8,22,00,00,84,00,00,00,00
0,000007E8,false,Rx,0,8,04,61,E1,01,01,00,00,00
0,000007E8,false,Rx,0,8,10,11,61,37,D5,69,81,E0
0,000007E8,false,Rx,0,8,21,80,00,80,00,00,00,00
0,000007E8,false,Rx,0,8,22,00,00,84,00,00,00,00
0,000007E8,false,Rx,0,8,04,61,E1,01,01,00,00,00
0,000007E8,false,Rx,0,8,10,11,61,37,D5,69,81,E0
0,000007E8,false,Rx,0,8,21,80,00,80,00,00,00,00
0,000007E8,false,Rx,0,8,22,00,00,84,00,00,00,00
0,000007E8,false,Rx,0,8,04,61,E1,01,01,00,00,00
0,000007E8,false,Rx,0,8,10,11,61,37,D6,69,81,E0
0,000007E8,false,Rx,0,8,21,80,00,80,00,00,00,00
0,000007E8,false,Rx,0,8,22,00,00,84,00,00,00,00
0,000007E8,false,Rx,0,8,04,61,E1,01,01,00,00,00
0,000007E8,false,Rx,0,8,10,11,61,37,D5,69,81,E0
0,000007E8,false,Rx,0,8,21,80,00,80,00,00,00,00
0,000007E8,false,Rx,0,8,22,00,00,84,00,00,00,00
0,000007E8,false,Rx,0,8,04,61,E1,01,01,00,00,00
0,000007E8,false,Rx,0,8,10,11,61,37,D5,69,81,E0
0,000007E8,false,Rx,0,8,21,80,00,80,00,00,00,00
0,000007E8,false,Rx,0,8,22,00,00,84,00,00,00,00
0,000007E8,false,Rx,0,8,04,61,E1,01,01,00,00,00
0,000007E8,false,Rx,0,8,10,11,61,37,D5,69,81,E0
0,000007E8,false,Rx,0,8,21,80,00,80,00,00,00,00
0,000007E8,false,Rx,0,8,22,00,00,84,00,00,00,00
0,000007E8,false,Rx,0,8,04,61,E1,01,01,00,00,00
0,000007E8,false,Rx,0,8,10,11,61,37,D5,69,81,E0
0,000007E8,false,Rx,0,8,21,80,00,80,00,00,00,00
0,000007E8,false,Rx,0,8,22,00,00,84,00,00,00,00
0,000007E8,false,Rx,0,8,04,61,E1,01,01,00,00,00
0,000007E8,false,Rx,0,8,10,11,61,37,D6,69,81,E0
0,000007E8,false,Rx,0,8,21,80,00,80,00,00,00,00
0,000007E8,false,Rx,0,8,22,00,00,84,00,00,00,00
0,000007E8,false,Rx,0,8,04,61,E1,01,01,00,00,00
0,000007E8,false,Rx,0,8,10,11,61,37,D5,69,81,E0
0,000007E8,false,Rx,0,8,21,80,00,80,00,00,00,00
0,000007E8,false,Rx,0,8,22,00,00,84,00,00,00,00
0,000007E8,false,Rx,0,8,04,61,E1,01,01,00,00,00
0,000007E8,false,Rx,0,8,10,11,61,37,D5,69,81,E0
0,000007E8,false,Rx,0,8,21,80,00,80,00,00,00,00
0,000007E8,false,Rx,0,8,22,00,00,84,00,00,00,00
0,000007E8,false,Rx,0,8,04,61,E1,01,01,00,00,00
0,000007E8,false,Rx,0,8,10,11,61,37,D5,69,81,E0
0,000007E8,false,Rx,0,8,21,80,00,80,00,00,00,00
0,000007E8,false,Rx,0,8,22,00,00,84,00,00,00,00
0,000007E8,false,Rx,0,8,04,61,E1,01,01,00,00,00
0,000007E8,false,Rx,0,8,10,11,61,37,D6,69,81,E0
0,000007E8,false,Rx,0,8,21,80,00,80,00,00,00,00
0,000007E8,false,Rx,0,8,22,00,00,84,00,00,00,00
0,000007E8,false,Rx,0,8,04,61,E1,01,01,00,00,00
