Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
0,00000700,false,Rx,0,8,02,3E,00,00,00,00,00,00,
0,000007E2,false,Rx,0,8,01,3E,00,00,00,00,00,00,
0,000007E0,false,Rx,0,8,01,3E,00,00,00,00,00,00,
0,000007E8,false,Rx,0,8,01,7E,00,00,00,00,00,00,
0,000007E0,false,Rx,0,8,02,09,00,00,00,00,00,00,
0,000007E8,false,Rx,0,8,06,49,00,54,40,00,00,00,
0,000007E0,false,Rx,0,8,02,09,02,00,00,00,00,00,
0,000007E8,false,Rx,0,8,10,14,49,02,01,FF,FF,FF,
0,000007E0,false,Rx,0,8,30,00,01,00,00,00,00,00,
0,000007E8,false,Rx,0,8,21,FF,FF,FF,FF,FF,FF,FF,
0,000007E8,false,Rx,0,8,22,FF,FF,FF,FF,FF,FF,FF,
0,000007E0,false,Rx,0,8,02,21,C1,00,00,00,00,00,
0,000007E8,false,Rx,0,8,10,15,61,C1,55,53,45,32,
0,000007E0,false,Rx,0,8,30,00,01,00,00,00,00,00,
0,000007E8,false,Rx,0,8,21,23,20,20,32,55,52,47,
0,000007E8,false,Rx,0,8,22,53,45,08,80,57,6D,01,
0,000007E8,false,Rx,0,8,23,00,00,00,00,00,00,00,
